       State,1974,1978,1982,1987,1992,1997,2002,2007
   Alabama,0,0,6,149,141,0,0,5
   Alaska,3,4,9,39,13,26,37,28
   Arizona,752,"1,029","1,430","3,323","5,993","11,141","11,970","11,869"
   Arkansas,0,0,0,4,38,15,46,4
   California,"40,952","62,501","65,796","74,683","99,021","118,140","120,560","106,271"
   Colorado,4,20,39,525,912,496,562,509
   Connecticut,22,49,41,171,51,65,20,38
   Delaware,4,2,21,72,91,15,0,6
   Florida,15,69,170,435,409,0,220,0
   Georgia,0,3,35,12,4,2,0,219
   Hawaii,33,78,131,166,161,140,153,100
   Idaho,0,0,1,3,0,2,2,1
   Illinois,1,28,107,"1,348",618,119,34,50
   Indiana,11,21,105,131,80,35,18,12
   Iowa,0,1,7,41,16,11,16,11
   Kansas,3,0,8,35,31,5,6,6
   Kentucky,4,1,38,49,273,40,49,16
   Louisiana,6,6,5,17,34,10,19,22
   Maine,2,33,302,"2,367","3,219",0,0,0
   Maryland,5,27,53,122,121,63,33,35
   Massachusetts,17,30,74,85,85,63,43,71
   Michigan,38,80,452,514,289,217,250,205
   Minnesota,0,33,92,54,20,45,35,85
   Mississippi,13,3,27,0,2,3,0,0
   Missouri,1,1,6,6,8,17,6,9
   Montana,0,3,3,4,0,0,4,10
   Nebraska,0,2,2,7,1,4,1,5
   Nevada,0,0,0,0,0,0,1,0
   New Hampshire,2,18,14,22,25,13,7,24
   New Jersey,212,385,530,342,398,289,123,139
   New Mexico,1,2,0,0,12,4,1,1
   New York,219,172,358,"1,262",646,612,364,0
   North Carolina,4,23,137,196,"1,035",279,674,187
   North Dakota,0,0,0,2,90,29,0,0
   Ohio,8,22,22,388,20,6,37,27
   Oklahoma,0,0,0,22,"2,724","3,889",1,4
   Oregon,"2,281",859,87,"2,626",359,182,"1,414","1,410"
   Pennsylvania,31,70,49,272,8,13,211,183
   Rhode Island,1,1,0,8,30,25,5,11
   South Carolina,0,4,8,12,7,9,0,0
,,,,,,,,
   South Dakota,0,0,1,0,0,0,0,0
   Tennessee,1,5,4,63,7,0,10,12
   Texas,481,"2,219","6,746","8,524","3,813",755,476,512
   Utah,0,0,0,0,0,0,0,1
   Vermont,0,8,24,81,34,27,50,33
   Virginia,82,44,71,216,204,33,86,551
   Washington,"1,037",88,"1,086",623,"1,028",0,"1,119",859
   West Virginia,0,3,10,10,5,5,7,6
   Wisconsin,23,39,111,"1,023",312,173,78,0
   Wyoming,0,0,0,0,0,0,0,0
   All other States,5,5,15,29,0,5,0,0